taskspecveldid	cVeldnaam	cVolgorde	cGridVolgorde	bIdentity	fid_Task	fid_LabelParent	fid_LabelChild	fid_FillLabelField	fid_SpecLabelField	fid_Calculation	bShowPopupWithFillField	fid1_ListCombinedLabel	fid2_ListCombinedLabel	fid3_ListCombinedLabel	bAutoComplete	bFullTextComplete	bListExcludeUnconnected	bRequired	bEditable	bEditableOnParamValue	cEditableOnValue	bViewableParentView	cViewableParentInTab	bViewable	bGridViewable	bShowOnUpdate	bFullTextIndex	bInGrid	bInDetails	ListSQL	bUseParameterIn	bUseParameterOut	bFillNewWithParam	bDeepSearch	cDefaultValue	cFieldFilter	iOrderAsc	iOrderDesc	bDisabled	bNullable	iFieldLength	iMaxLengthList	cFieldType	bFieldInDataObject	cCreateLabel	bUpdated	cValueOnSelect	cRequiredCondition	cEditCondition	cRegex	cRegexExpl	cUploadDestination	bDevider	cDevider	bAddValuesInDDL	bCopy	bGridEditable	cGridInsertColumn	cHelptext	iCharPerLine	bListUniqueValues	iHeaderWidth	iTextboxWidth	cShowInColumn	cGridCalVolgorde	bMultiAutocomplete	iMaxLines	bAddTextToAutoComplete	cFieldForeColor	cFieldBackColor	bOverWriteWithDefault	fid_CopyTask	iDecimalDigits	bTotalInGrid	fid_ShowWithLabel	cShowDetailColumn	fid_FillEmptyLabelId	fid_LabelShowAsTable	cClearAfterSelection	bAddToGrid	bShowInUpdate	bMailOnUpdate	bDefaultFocus	bShowAsListBox	iListBoxHeight	bImmidiateUpdate	bAlwaysInUpdate	bCheckValueExists	bCreatePostback	cCreatePostback	cResetForRefresh	cExtraFilterType	bActivateTaskAfterUpdate	bActivateTaskAfterInsert	cisd_FieldId	cColorCondition	cHideOnLabelValue	bSelectAll	cExecOnPostBack	cShowPostbackOnColumn	bListMultiSelect	iLinkToTask	cCompareValidator
5572	cConsigneeAddressNotationId	164	NULL	NULL	76	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	50	NULL	varchar                  	1	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	149	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5573	cNotifyAddressNotationId	165	NULL	NULL	76	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	50	NULL	varchar                  	1	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	150	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5574	dEstimatedTimeOfDeparture	053	NULL	NULL	76	NULL	1097	4201	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	1	NULL	1	NULL	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	8	NULL	datetime                 	1		0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	049	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	fid_PortIdPol	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5575	dEstimatedTimeOfArrival	056	NULL	NULL	76	NULL	1094	4202	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	1	NULL	1	NULL	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	8	NULL	datetime                 	1		0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	052	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	fid_PortIdPod	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5576	dClosingDate	050	NULL	NULL	76	NULL	1106	4061	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	1	NULL	1	NULL	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	8	NULL	datetime                 	1		0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	046	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	fid_PlaceOfReceipt	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5577	CurrentContactEmail	031	NULL	NULL	76	NULL	1076	3799	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	1	NULL	1	NULL	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	250	NULL	varchar                  	1		0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	50	NULL	NULL	NULL	NULL	028	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5578	CurrentContactPhone	030	NULL	NULL	76	NULL	1075	3796	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	1	NULL	1	0	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	20	NULL	varchar                  	1		0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	25	NULL	NULL	NULL	NULL	027	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5579	fid_RoutingAgentContactId	016	NULL	NULL	76	NULL	2211	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	NULL	NULL	1	NULL	1	NULL	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	4	NULL	int                      	1		0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	013	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1077	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5580	fid_ContactIdShipper	166	NULL	NULL	76	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	4	NULL	int                      	1	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	151	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5581	iContactId	167	NULL	NULL	76	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	4	NULL	int                      	1	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	152	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5582	AgentContactName	017	NULL	NULL	76	NULL	NULL	9776	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	NULL	NULL	1	NULL	1	NULL	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	50	NULL	varchar                  	1	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	014	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1077	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5583	AgentContactPhone	018	NULL	NULL	76	NULL	NULL	9785	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	NULL	NULL	1	NULL	1	NULL	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	20	NULL	varchar                  	1	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	015	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1077	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5584	AgentContactMail	019	NULL	NULL	76	NULL	NULL	9788	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	NULL	NULL	1	NULL	1	NULL	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	250	NULL	varchar                  	1	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	016	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1077	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
