linkfield_id	fid_label	cFieldName	cComputedField	cFieldFilter	cVolgorde	bInList	iOrderAsc	iOrderDesc	cFieldType	iFieldLength	fid_LinkedLabel	bUseAsPanelVisibility	iListFieldWidth	cListColHeader	fid_ListLabel	cisd_listfieldid	fid_ListLinkedLabel
4426	1156	PortOfDischarge	NULL	NULL	019	NULL	NULL	NULL	varchar	50	NULL	NULL	NULL	NULL	NULL	4124	NULL
4427	1156	ETA	NULL	NULL	020	NULL	NULL	NULL	varchar	-1	NULL	NULL	NULL	NULL	NULL	4125	NULL
4428	1156	PlaceOfDelivery	NULL	NULL	021	NULL	NULL	NULL	varchar	40	NULL	NULL	NULL	NULL	NULL	4126	NULL
4429	1156	FinalETA	NULL	NULL	022	NULL	NULL	NULL	varchar	-1	NULL	NULL	NULL	NULL	NULL	4127	NULL
4430	1156	FinalDestination	NULL	NULL	023	NULL	NULL	NULL	varchar	40	NULL	NULL	NULL	NULL	NULL	4128	NULL
4431	1156	Vesselname	NULL	NULL	024	NULL	NULL	NULL	varchar	50	NULL	NULL	NULL	NULL	NULL	4129	NULL
4432	1156	VoyageNumber	NULL	NULL	025	NULL	NULL	NULL	varchar	50	NULL	NULL	NULL	NULL	NULL	4130	NULL
4433	1156	dServiceDate	NULL	NULL	026	NULL	NULL	NULL	varchar	-1	NULL	NULL	NULL	NULL	NULL	4131	NULL
4436	1156	ElectronicInvoice	NULL	NULL	029	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	4134	NULL
4437	1156	PaymentDays	NULL	NULL	030	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	4135	NULL
4443	1156	RelationId	NULL	NULL	031	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	4142	NULL
4444	611	fid_FileRateCurrency	NULL	NULL	107	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	4143	NULL
4445	611	fFileCurrRate	NULL	NULL	108	NULL	NULL	NULL	float	8	NULL	NULL	NULL	NULL	NULL	4144	NULL
4480	1156	InvoiceCurrRate	NULL	NULL	032	NULL	NULL	NULL	float	8	NULL	NULL	NULL	NULL	NULL	4179	NULL
4484	1156	InvoiceCurrSource	NULL	NULL	036	NULL	NULL	NULL	varchar	8	NULL	NULL	NULL	NULL	NULL	4183	NULL
4485	1156	Founded	NULL	NULL	037	NULL	NULL	NULL	varchar	25	NULL	NULL	NULL	NULL	NULL	4184	NULL
4490	1156	Currency	NULL	NULL	042	NULL	NULL	NULL	varchar	25	NULL	NULL	NULL	NULL	NULL	4189	NULL
4974	19	fid_WhsAddress	NULL	NULL	016	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	4911	NULL
4976	1032	fid_WhsAddress	NULL	NULL	016	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	4913	NULL
4987	1057	bBlockForPlanning	NULL	NULL	002	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	4927	NULL
4988	1156	InvoiceState	NULL	NULL	048	1	NULL	NULL	varchar	7	NULL	NULL	NULL	NULL	NULL	4928	NULL
5082	1264	iRateGroupId	NULL	NULL	000	1	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	5124	NULL
5083	1264	iRateGroupCode	NULL	NULL	001	1	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	5125	NULL
5084	1264	cRateGroupName	NULL	NULL	002	NULL	NULL	NULL	varchar	50	NULL	NULL	NULL	NULL	NULL	5126	NULL
5085	1264	RateGroupAddressId	NULL	NULL	004	NULL	NULL	NULL	int	4	887	NULL	NULL	NULL	NULL	5128	NULL
5086	1032	cWhsComposedAddress	NULL	NULL	017	NULL	NULL	NULL	varchar	-1	NULL	NULL	NULL	NULL	NULL	5129	NULL
5087	19	cWhsComposedAddress	NULL	NULL	017	NULL	NULL	NULL	varchar	-1	NULL	NULL	NULL	NULL	NULL	5130	NULL
5225	611	cFileNrCis	NULL	NULL	109	NULL	NULL	NULL	varchar	10	NULL	NULL	NULL	NULL	NULL	5268	NULL
