linkfield_id	fid_label	cFieldName	cComputedField	cFieldFilter	cVolgorde	bInList	iOrderAsc	iOrderDesc	cFieldType	iFieldLength	fid_LinkedLabel	bUseAsPanelVisibility	iListFieldWidth	cListColHeader	fid_ListLabel	cisd_listfieldid	fid_ListLinkedLabel
9757	2210	cEmailAddress	NULL	NULL	005	NULL	NULL	NULL	varchar	100	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9758	2210	cBLAddress	NULL	NULL	006	NULL	NULL	NULL	varchar	400	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9759	2210	ComposedAddress	NULL	NULL	007	1	NULL	NULL	varchar	-1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9760	2210	iRelationNumber	NULL	NULL	008	1	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9761	2210	cAEONumber	NULL	NULL	009	NULL	NULL	NULL	varchar	30	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9762	2210	bTotalBlocked	NULL	NULL	010	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9763	2210	cGroupByAddress	NULL	NULL	011	NULL	NULL	NULL	varchar	-1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9764	2210	FileConsignee	NULL	NULL	012	NULL	NULL	NULL	varchar	-1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9765	2210	FileNotify	NULL	NULL	013	NULL	NULL	NULL	varchar	-1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9766	2210	DoubleAddress	NULL	NULL	014	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9767	2210	cInttraConsigneeNaw	NULL	NULL	015	NULL	NULL	NULL	varchar	250	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9768	2210	cInttraNotifyNaw	NULL	NULL	016	NULL	NULL	NULL	varchar	250	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9769	2210	zoekreeks	NULL	NULL	017	NULL	NULL	NULL	varchar	600	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9770	2210	dLastModified	NULL	NULL	018	NULL	NULL	NULL	datetime	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9771	2210	fid_DefaultContact	NULL	NULL	019	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9772	2210	Company	NULL	NULL	020	NULL	NULL	NULL	varchar	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9773	2210	bDirectExportAgent	NULL	NULL	021	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9775	2211	iContactId	NULL	NULL	000	1	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9776	2211	cContactName	NULL	NULL	001	1	1	NULL	varchar	50	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9777	2211	cCompanyShortName	NULL	NULL	002	NULL	NULL	NULL	varchar	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9778	2211	iRelationNumber	NULL	NULL	003	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9779	2211	cContactShort	NULL	NULL	004	NULL	NULL	NULL	varchar	30	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9780	2211	cContactFirstName	NULL	NULL	005	NULL	NULL	NULL	varchar	30	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9781	2211	cContactMiddleName	NULL	NULL	006	NULL	NULL	NULL	varchar	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9782	2211	cContactLastName	NULL	NULL	007	NULL	NULL	NULL	varchar	50	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9783	2211	cContactInitials	NULL	NULL	008	NULL	NULL	NULL	varchar	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9784	2211	cContactTitle	NULL	NULL	009	NULL	NULL	NULL	varchar	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9785	2211	cContactPhone	NULL	NULL	010	NULL	NULL	NULL	varchar	20	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9786	2211	cContactFax	NULL	NULL	011	NULL	NULL	NULL	varchar	20	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9787	2211	cContactMobile	NULL	NULL	012	NULL	NULL	NULL	varchar	20	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9788	2211	cContactEmail	NULL	NULL	013	NULL	NULL	NULL	varchar	500	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9789	2211	cContactInfo	NULL	NULL	014	NULL	NULL	NULL	varchar	250	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9790	2211	bMailGeneral	NULL	NULL	015	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9791	2211	bMailTariff	NULL	NULL	016	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9792	2211	bMailSchedule	NULL	NULL	017	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9793	2211	bMailSales	NULL	NULL	018	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9794	2211	bElinv	NULL	NULL	019	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9795	2211	bSalesExport	NULL	NULL	020	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9796	2211	bSalesImport	NULL	NULL	021	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9797	2211	fid_RelationId	NULL	NULL	022	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9798	2211	iRelationId	NULL	NULL	023	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9799	2211	iGenAddressId	NULL	NULL	024	NULL	NULL	NULL	int	4	2210	NULL	NULL	NULL	NULL	NULL	NULL
9800	2211	NewLineEmail	NULL	NULL	025	NULL	NULL	NULL	varchar	525	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9801	2211	bDeleted	NULL	NULL	026	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
